root,1,1778,98462
cellular organisms,131567,240,92460
Bacteria,2,481,92220
Proteobacteria,1224,0,68129
Gammaproteobacteria,1236,0,68116
Enterobacterales,91347,381,68079
Enterobacteriaceae,543,4273,67698
Enterobacter,547,9466,63425
Enterobacter cloacae complex,354276,51117,53959
Enterobacter hormaechei,158836,2842,2842
Terrabacteria group,1783272,146,23660
Firmicutes,1239,0,2476
Bacilli,91061,0,2470
Bacillales,1385,0,2158
Staphylococcaceae,90964,0,2151
Staphylococcus,1279,159,2150
Staphylococcus aureus,1280,339,339
Staphylococcus epidermidis,1282,1652,1652
Lactobacillales,186826,0,310
Enterococcaceae,81852,0,306
Enterococcus,1350,0,306
Enterococcus faecalis,1351,303,303
Actinobacteria,201174,0,21148
Actinomycetia,1760,0,21148
Bifidobacteriales,85004,0,21089
Bifidobacteriaceae,31953,0,21089
Bifidobacterium,1678,1852,21061
Bifidobacterium animalis,28025,525,525
Bifidobacterium longum,216816,18684,18684
